date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:35:13	63469/63469	---M-Z	200	added ('OK')	text/html	etag:W/%22f7ed-P46oRIVUl+6LA0HquPY3909oyBE%22	http://lsxs.me/turing_fluid	C:/Users/ACER/Desktop/short/turing%20fluid/lsxs.me/turing_fluid.html	(from )
14:35:14	9376/9376	---M-Z	200	added ('OK')	text/html	etag:W/%227f20-iFNod6rJEqwe8WG0ryVu0AUoL8k%22	http://lsxs.me/robots.txt		(from )
14:35:15	15086/15086	---M-Z	200	added ('OK')	image/x-icon	etag:W/%223aee-17da9229e30%22	http://lsxs.me/images/favicon3.ico	C:/Users/ACER/Desktop/short/turing%20fluid/lsxs.me/images/favicon3.ico	(from http://lsxs.me/turing_fluid)
14:35:17	1729/1729	---M-Z	200	added ('OK')	text/css	etag:W/%226c1-17da9229e30%22	http://lsxs.me/styles/styles.css	C:/Users/ACER/Desktop/short/turing%20fluid/lsxs.me/styles/styles.css	(from http://lsxs.me/turing_fluid)
14:35:17	50205/50205	---MC-	200	added ('OK')	text/javascript	date:Wed,%2013%20Apr%202022%2021:02:38%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/ACER/Desktop/short/turing%20fluid/www.google-analytics.com/analytics.js	(from http://lsxs.me/turing_fluid)
14:35:17	2785/2785	---M-Z	200	added ('OK')	text/css	date:Thu,%2012%20May%202022%2009:05:18%20GMT	https://use.typekit.net/uok8swb.css	C:/Users/ACER/Desktop/short/turing%20fluid/use.typekit.net/uok8swb.css	(from http://lsxs.me/turing_fluid)
14:35:17	89476/89476	---M--	200	added ('OK')	text/javascript	date:Fri,%2008%20May%202020%2007:05:03%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	C:/Users/ACER/Desktop/short/turing%20fluid/ajax.googleapis.com/ajax/libs/jquery/3.5.1/jquery.min.js	(from http://lsxs.me/turing_fluid)
14:35:19	19188/19188	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03fa9-4af4%22	https://cdnjs.cloudflare.com/ajax/libs/popper.js/1.12.9/umd/popper.min.js	C:/Users/ACER/Desktop/short/turing%20fluid/cdnjs.cloudflare.com/ajax/libs/popper.js/1.12.9/umd/popper.min.js	(from http://lsxs.me/turing_fluid)
14:35:19	5/5	---M--	200	added ('OK')	text/css	etag:%22613482d4-5%22	https://p.typekit.net/p.css?s=1&k=uok8swb&ht=tk&f=5631.11258.22797&a=1494256&app=typekit&e=css	C:/Users/ACER/Desktop/short/turing%20fluid/p.typekit.net/p76f2.css	(from https://use.typekit.net/uok8swb.css)
14:35:20	33760/33760	---M--	200	added ('OK')	application/font-woff2	etag:%22d42bc8e74720ecf4e6a270be1aab1518f9c9265c%22	https://use.typekit.net/af/a8a439/00000000000000003b9b21dc/27/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n4&v=3	C:/Users/ACER/Desktop/short/turing%20fluid/use.typekit.net/af/a8a439/00000000000000003b9b21dc/27/le196	(from https://use.typekit.net/uok8swb.css)
14:35:20	34516/34516	---M--	200	added ('OK')	application/font-woff	etag:%22d42bc8e74720ecf4e6a270be1aab1518f9c9265c%22	https://use.typekit.net/af/a8a439/00000000000000003b9b21dc/27/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n4&v=3	C:/Users/ACER/Desktop/short/turing%20fluid/use.typekit.net/af/a8a439/00000000000000003b9b21dc/27/de196	(from https://use.typekit.net/uok8swb.css)
14:35:21	50064/50064	---M-Z	200	added ('OK')	font/opentype	etag:W/%22d42bc8e74720ecf4e6a270be1aab1518f9c9265c%22	https://use.typekit.net/af/a8a439/00000000000000003b9b21dc/27/a?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n4&v=3	C:/Users/ACER/Desktop/short/turing%20fluid/use.typekit.net/af/a8a439/00000000000000003b9b21dc/27/ae196	(from https://use.typekit.net/uok8swb.css)
14:35:21	22160/22160	---M--	200	added ('OK')	application/font-woff2	etag:%227f47997549966572873a8fa4259a0e3f48b31762%22	https://use.typekit.net/af/077186/00000000000000000001793e/27/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n4&v=3	C:/Users/ACER/Desktop/short/turing%20fluid/use.typekit.net/af/077186/00000000000000000001793e/27/le196	(from https://use.typekit.net/uok8swb.css)
14:35:21	22252/22252	---M--	200	added ('OK')	application/font-woff	etag:%227f47997549966572873a8fa4259a0e3f48b31762%22	https://use.typekit.net/af/077186/00000000000000000001793e/27/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n4&v=3	C:/Users/ACER/Desktop/short/turing%20fluid/use.typekit.net/af/077186/00000000000000000001793e/27/de196	(from https://use.typekit.net/uok8swb.css)
14:35:21	29804/29804	---M-Z	200	added ('OK')	font/opentype	etag:W/%227f47997549966572873a8fa4259a0e3f48b31762%22	https://use.typekit.net/af/077186/00000000000000000001793e/27/a?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n4&v=3	C:/Users/ACER/Desktop/short/turing%20fluid/use.typekit.net/af/077186/00000000000000000001793e/27/ae196	(from https://use.typekit.net/uok8swb.css)
14:35:21	14228/14228	---M--	200	added ('OK')	application/font-woff2	etag:%223ef07a71eb7ff1459cf56c26a732f7c568519b3b%22	https://use.typekit.net/af/657ff9/000000000000000000014a2e/27/l?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n4&v=3	C:/Users/ACER/Desktop/short/turing%20fluid/use.typekit.net/af/657ff9/000000000000000000014a2e/27/le196	(from https://use.typekit.net/uok8swb.css)
14:35:22	14872/14872	---M--	200	added ('OK')	application/font-woff	etag:%223ef07a71eb7ff1459cf56c26a732f7c568519b3b%22	https://use.typekit.net/af/657ff9/000000000000000000014a2e/27/d?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n4&v=3	C:/Users/ACER/Desktop/short/turing%20fluid/use.typekit.net/af/657ff9/000000000000000000014a2e/27/de196	(from https://use.typekit.net/uok8swb.css)
14:35:22	30032/30032	---M-Z	200	added ('OK')	font/opentype	etag:W/%223ef07a71eb7ff1459cf56c26a732f7c568519b3b%22	https://use.typekit.net/af/657ff9/000000000000000000014a2e/27/a?primer=7cdcb44be4a7db8877ffa5c0007b8dd865b3bbc383831fe2ea177f62257a9191&fvd=n4&v=3	C:/Users/ACER/Desktop/short/turing%20fluid/use.typekit.net/af/657ff9/000000000000000000014a2e/27/ae196	(from https://use.typekit.net/uok8swb.css)
14:35:23	1/1	---M--	200	added ('OK')	text/plain	etag:%22626c8b7e-1%22	https://use.typekit.net/robots.txt		(from https://use.typekit.net/uok8swb.css)
